id,Name,titleProject_id,class,score
762048367,Верзанский Геннадий Андреевич,497,7д,5
563209611,Алтубин Ярослав Леонидович,414,10г,5
792985931,Аузин Игорь Алексиевич,435,8х,5
824679109,Калыгин Степан Тимофеевич,353,8и,2
138827881,Дурныгина Полина Игоревна,72,8и,2
882054131,Антюфеева Александра Вадимовна,347,8и,2
824679109,Лощинский Борис Романович,210,10б,3
973882807,Ходорков Евгений Виталиевич,344,9г,5
973957065,Кафорин Федор Данилович,427,10д,3
363414270,Косынская Алиса Дмитриевна,40,9в,3
545032195,Беремцев Артём Антонович,434,11т,2
389916612,Влянская Мария Андреевна,490,7т,4
627320052,Мыгеева Лиза Василевна,280,8в,5
198330385,Акутникова Мария Алексеевна,173,11в,2
57240130,Карябкин Константин Максимович,89,7и,2
389916612,Прилепина Яна Максимовна,30,10в,5
824679109,Ведищев Никита Георгиевич,365,7и,5
363414270,Самчева Вероника Борисовна,287,10г,3
781437302,Пирцхалова Карина Леонидовна,452,10г,5
545032195,Павлочев Денис Борисович,432,11д,5
213311271,Арашкова Екатерина Евгеньевна,356,8х,None
198330385,Байсарова Людмила Василевна,215,11и,2
138827881,Кудекина Зинаида Игоревна,250,10и,3
973882807,Дерналов Виталий Викторович,1,9г,4
138827881,Сазинова Галина Романовна,61,9и,3
781437302,Остаченова Марина Эдуардовна,229,9т,5
219613922,Битюкова Яна Егоровна,488,9и,4
57240130,Иваницкий Константин Борисович,232,8д,5
821603217,Белянский Владислав Игоревич,74,11б,5
824679109,Баранкин Артём Алексеевич,382,9т,2
138827881,Шкабанова Софья Вадимовна,499,9х,4
973957065,Полозлов Денис Адамович,155,8т,3
363414270,Жунина Светлана Михайловна,162,8в,3
973957065,Пантыкин Борис Игоревич,245,9х,2
138827881,Доутова Марина Богдановна,189,11х,2
480519285,Трещалова Яна Андреевна,330,8б,3
762048367,Ивашечкин Александр Данилович,390,10т,4
138827881,Мазьянова Инна Богдановна,416,11в,4
563209611,Корогев Николай Евгеньевич,184,8б,5
138827881,Заидова Галина Максимовна,88,9т,4
545032195,Рамхин Кирилл Алексиевич,459,9х,4
563209611,Кизбабаев Эдуард Фёдорович,415,11т,2
821603217,Соурчаков Ярослав Валериевич,268,8б,2
138827881,Мотяшева Алена Михайловна,404,7т,2
363414270,Горшкова Наталия Яковлевна,340,11а,2
563209611,Зябрицкий Игорь Виталиевич,332,7а,5
792985931,Шельдяев Игорь Юриевич,97,7д,5
563209611,Шмелькин Максим Викторович,483,9т,5
824679109,Жалкин Алексей Алексеевич,43,7а,3
545032195,Худасов Денис Максимович,70,10д,2
198330385,Швичкова Наталья Эдуардовна,398,7г,4
480519285,Едская Жанна Валерьевна,436,11в,4
198330385,Поморзина Полина Евгеньевна,122,7д,4
627320052,Будачева Кира Олеговна,55,11х,4
563209611,Молкаев Василий Валериевич,216,8д,2
821603217,Яцынин Константин Тимофеевич,285,7г,2
563209611,Маховиков Василий Петрович,391,7х,4
363414270,Шаметова Евгения Вадимовна,463,7а,2
363414270,Законнова Жанна Евгеньевна,442,11и,None
973882807,Перчихин Аркадий Тимофеевич,164,10т,3
138827881,Бурдасова Ксения Игоревна,203,9а,3
792985931,Киссин Степан Иванович,251,7х,5
480519285,Вапилина Мария Егоровна,77,7д,2
389916612,Сигутина Дарья Федоровна,458,7б,2
563209611,Сошьяков Альберт Фёдорович,17,7т,4
389916612,Лугахина Клара Вадимовна,419,8в,4
821603217,Логецкий Анатолий Виталиевич,372,11б,4
480519285,Ковайкова Юлия Егоровна,75,10г,2
973882807,Вермутский Валерий Петрович,447,9и,5
973957065,Россомахов Олег Юриевич,56,8в,2
781437302,Циплакова Екатерина Егоровна,471,9б,5
480519285,Квятцева Алла Никитична,138,11в,2
198330385,Выхухолева Лариса Василевна,384,8б,5
545032195,Целохов Андрей Вадимович,433,8и,5
229910217,Бендин Иван Яковлевич,71,8и,4
762048367,Лазученков Василий Алексеевич,381,7х,2
821603217,Скоропухов Михаил Василиевич,69,10и,3
545032195,Мухонкин Тарас Романович,126,9и,4
821603217,Камерцев Владимир Кириллович,303,7а,3
389916612,Сандрыкина Анна Олеговна,324,10т,2
973882807,Недбайлов Алексей Денисович,15,7т,2
563209611,Серпков Ярослав Георгиевич,380,10б,4
821603217,Хатшуклов Аркадий Николаевич,42,11т,4
138827881,Литвалиева Алиса Егоровна,10,11и,3
480519285,Енесина Лиза Валерьевна,293,9б,5
973882807,Пикальков Эдуард Алексиевич,21,8д,5
762048367,Сачинский Валентин Кириллович,125,10т,2
781437302,Тарзанова Евгения Аркадьевна,96,9д,2
792985931,Лапундин Юрий Игоревич,267,8и,5
627320052,Личева Лиза Михайловна,453,9б,3
824679109,Смароверов Яков Борисович,131,11в,4
627320052,Вереина Алла Василевна,295,10и,3
363414270,Погиблева Дарья Леонидовна,283,9в,5
198330385,Байнова Анастасия Вадимовна,363,7б,3
762048367,Шиловский Вячеслав Максимович,438,9и,4
545032195,Сыждиков Пётр Василиевич,494,11х,5
138827881,Каценова Алёна Эдуардовна,165,11т,2
219613922,Мужицких Ева Олеговна,348,8х,3
545032195,Плеснецов Степан Юрьевич,22,10а,2
389916612,Игумнова Алёна Сергеевна,114,9д,4
973882807,Хадаров Владимир Валериевич,278,11т,5
480519285,Ступакова Кира Ивановна,421,8и,3
563209611,Шоленинов Федор Максимович,286,11т,4
563209611,Гундаров Руслан Николаевич,158,9д,4
363414270,Гречишева Марина Андреевна,464,7д,2
480519285,Утилова Алена Андреевна,253,11д,3
363414270,Роткичева Алиса Максимовна,410,10а,4
363414270,Колтышева Марина Вадимовна,87,11г,4
363414270,Гурычева Лариса Валерьевна,489,9б,2
363414270,Горцева Кристина Никитична,246,8и,4
563209611,Кутурин Геннадий Денисович,197,9в,2
824679109,Стефанков Яков Евгеньевич,318,10г,3
138827881,Множина Людмила Василевна,90,8б,2
563209611,Семисалов Георгий Иванович,316,9в,3
563209611,Рогалов Альберт Валериевич,327,9б,2
781437302,Черетаева Анастасия Олеговна,341,9б,2
363414270,Радоминова Любовь Игоревна,25,9и,5
480519285,Шувырина Лиза Андреевна,395,9а,5
973882807,Калиженков Семён Алексеевич,401,11а,4
57240130,Старокашин Константин Петрович,309,10а,3
563209611,Малтоцов Аркадий Яковлевич,218,8а,3
480519285,Кузеванова Ева Егоровна,116,7д,2
480519285,Нурулина Алёна Егоровна,284,9х,2
824679109,Лератов Герасим Сергеевич,374,10а,4
973957065,Людин Руслан Аркадиевич,498,7и,3
792985931,Пурин Виктор Данилович,154,8и,5
318807900,Лютов Виктор Юрьевич,288,11г,2
480519285,Марюшкина Яна Федоровна,345,10д,5
781437302,Томилова Кристина Михайловна,492,11б,3
973882807,Дистерев Валерий Валериевич,24,7г,3
563209611,Дочкин Геннадий Алексиевич,52,11и,5
973957065,Иняхин Руслан Сергеевич,234,7и,5
480519285,Знайкова Раиса Егоровна,148,11х,3
973882807,Кашавцев Аркадий Леонидович,58,7а,4
781437302,Пятернина Кристина Андреевна,445,7и,2
138827881,Гусеева Карина Викторовна,263,9и,2
219613922,Кастева Яна Сергеевна,108,7и,2
973957065,Гришанин Тарас Павлович,113,10т,2
824679109,Грамоткин Илья Викторович,195,8д,5
973882807,Мелисин Геннадий Василиевич,465,10г,2
138827881,Цинина Светлана Яковлевна,105,11г,5
792985931,Петов Георгий Адамович,57,9а,2
363414270,Реева Валентина Максимовна,146,11и,5
138827881,Слесивых Мария Аркадьевна,35,7и,5
480519285,Афтаева Полина Ивановна,193,10д,5
762048367,Кривицкий Валентин Виталиевич,208,8х,5
762048367,Чубатов Константин Леонидович,279,11а,4
973882807,Партенков Геннадий Павлович,418,8х,3
563209611,Черушев Григорий Борисович,84,7г,4
563209611,Тютекин Георгий Тимофеевич,262,7а,2
973882807,Янкевский Вячеслав Адамович,167,11г,4
213311271,Сухручкина Клавдия Аркадьевна,177,7в,4
138827881,Конофалова Клара Петровна,95,11д,5
973957065,Лигасов Михаил Павлович,491,11г,4
563209611,Писарьков Альберт Игоревич,313,8в,4
229910217,Варов Кирилл Иванович,28,8а,5
545032195,Пурынов Евгений Петрович,244,9и,3
882054131,Супрутская Вероника Викторовна,187,9а,2
389916612,Скроцкая Алина Федоровна,127,8г,3
973957065,Барадулин Вадим Юрьевич,281,11х,3
824679109,Точилин Дмитрий Фёдорович,476,8а,2
973882807,Бикмуллин Руслан Валериевич,333,11т,2
973882807,Серпичев Василий Алексиевич,394,10х,5
824679109,Вострышев Яков Аркадиевич,343,8г,5
138827881,Грушчева София Евгеньевна,480,11в,None
824679109,Кулапов Александр Юрьевич,109,9б,5
57240130,Чибисенков Владислав Фёдорович,375,8х,3
973957065,Утилов Роман Василиевич,254,9х,2
363414270,Татаурова Галина Федоровна,145,10т,4
213311271,Визавитина Наталия Леонидовна,101,10г,2
824679109,Мягченков Артём Денисович,115,7б,4
480519285,Брикова Инна Богдановна,256,9б,4
973882807,Наторкин Валентин Данилович,319,7и,2
363414270,Эштрекова Софья Алексеевна,76,9в,3
138827881,Кутаманова Кира Андреевна,182,10т,2
781437302,Кыштымова Евгения Эдуардовна,255,8в,5
198330385,Ккнязева Клавдия Дмитриевна,34,7б,5
138827881,Глаголина Алиса Никитична,249,9д,2
480519285,Рисина Раиса Валерьевна,451,10а,4
824679109,Ребров Алексей Георгиевич,289,8и,3
762329317,Вырысалова Александра Евгеньевна,39,11и,2
973882807,Гомольский Владимир Юриевич,314,11х,5
389916612,Швинова Марина Федоровна,271,8г,5
363414270,Рудковская Инна Дмитриевна,6,7т,3
138827881,Решеткина Дарья Василевна,408,10и,3
563209611,Евстихеев Игорь Василиевич,422,10х,5
389916612,Лазарина Алёна Федоровна,161,8б,3
762048367,Гляченков Григорий Николаевич,431,10а,5
363414270,Чардынцева Алина Вадимовна,135,10д,3
792985931,Скаредов Яков Иванович,337,9т,5
545032195,Юрицкий Эдуард Денисович,192,7д,3
781437302,Кравчина Светлана Аркадьевна,413,11г,5
198330385,Чмареткова Полина Вадимовна,449,10а,2
480519285,Углова Галина Романовна,260,9г,3
213311271,Згуровская Виктория Андреевна,220,9т,4
762048367,Секерский Станислав Сергеевич,235,10а,4
824679109,Жевайкин Евгений Адамович,86,11г,3
545032195,Коточигов Семён Игоревич,26,9д,5
824679109,Калонин Альберт Денисович,297,8б,2
563209611,Валягин Григорий Антонович,94,10в,4
363414270,Коцева Кристина Николаевна,412,9г,3
363414270,Голина Кристина Максимовна,3,7х,3
821603217,Батрамеев Анатолий Романович,354,9х,3
821603217,Чикмарев Валентин Валериевич,306,9и,5
138827881,Киницына Валерия Олеговна,202,7х,4
229910217,Числин Юрий Денисович,121,7в,2
389916612,Стебунова Юлия Романовна,358,9т,3
318807900,Кацов Павел Павлович,236,10г,5
792985931,Гоцев Тарас Викторович,41,8в,3
973882807,Мотовицкий Роман Аркадиевич,31,11и,5
627320052,Чурзина Клара Егоровна,308,10б,3
198330385,Щепалкина Валерия Сергеевна,134,9б,4
824679109,Утимишев Ярослав Игоревич,239,11а,3
824679109,Алуханов Кирилл Фёдорович,298,7т,2
821603217,Полунеев Валентин Валериевич,307,8и,2
198330385,Крупенова Наталия Андреевна,209,7в,5
229910217,Корнюшин Илья Юрьевич,44,10т,3
363414270,Паушева Виолетта Никитична,310,8г,4
545032195,Берзин Герасим Антонович,349,11т,5
389916612,Шулунова Алла Алексеевна,54,7д,4
138827881,Трепашова София Яковлевна,399,11а,2
762048367,Чумейкин Константин Антонович,8,8б,5
545032195,Польшиков Денис Игоревич,495,9и,2
138827881,Медоусова Жанна Романовна,252,7б,2
198330385,Акуратова Клавдия Андреевна,92,9г,5
213311271,Курмеева Елизавета Валерьевна,486,8а,5
563209611,Бадов Александр Аркадиевич,217,10г,3
973957065,Бакушин Эдуард Адамович,265,7б,5
219613922,Чебина Инна Сергеевна,273,10т,2
198330385,Подледнова Наталья Ивановна,112,11и,3
389916612,Садгеева Лиза Евгеньевна,460,11г,3
229910217,Акушин Борис Павлович,493,9т,2
545032195,Аришев Руслан Кириллович,379,10т,3
138827881,Гуслова Кристина Олеговна,389,9в,2
781437302,Глоточкина Оксана Аркадьевна,370,9и,5
363414270,Шапина Маргарита Романовна,163,8б,5
563209611,Дурылин Георгий Валериевич,261,11т,4
138827881,Болкисева Анна Викторовна,248,7х,4
563209611,Багапов Вячеслав Сергеевич,99,7д,4
480519285,Люцарева Яна Аркадьевна,376,11б,2
138827881,Боготынина София Егоровна,63,11б,5
545032195,Саюшкин Игорь Алексиевич,211,11х,5
363414270,Потешных Тамара Николаевна,468,11в,3
480519285,Незлина Жанна Василевна,426,8б,5
781437302,Федичева Вероника Кирилловна,37,7х,4
824679109,Пустынкин Вадим Антонович,388,10в,5
363414270,Аринакова Ирина Михайловна,150,8в,5
138827881,Обиралкова Мария Егоровна,294,11т,5
792061660,Аристарова Валентина Максимовна,443,11г,2
229910217,Яуров Герасим Юрьевич,38,9а,5
821603217,Духонькин Вячеслав Фёдорович,2,9в,4
563209611,Гвасков Евгений Михаилович,402,9в,5
363414270,Жабынина Галина Николаевна,185,7х,5
198330385,Шерюкова Виолетта Романовна,440,9б,4
824679109,Колокатов Пётр Евгеньевич,484,10в,3
563209611,Шайдуков Андрей Михаилович,317,9и,4
138827881,Смирнягина Дарья Игоревна,425,10в,4
686529451,Штырева Ева Олеговна,258,11и,2
563209611,Ашукин Вячеслав Михаилович,191,10т,4
781437302,Рубченкова Галина Алексеевна,190,9в,3
792985931,Зархин Иван Алексиевич,478,11и,5
545032195,Адиотов Дмитрий Павлович,156,7б,3
363414270,Тищенкова Раиса Валерьевна,79,7д,3
318807900,Лозеев Илья Петрович,205,10д,2
563209611,Кобяшов Герасим Михаилович,305,11т,2
138827881,Ронова Клавдия Валерьевна,107,7и,4
973882807,Стрижнов Алексей Евгеньевич,385,11г,3
821603217,Волынский Алексей Виталиевич,362,11т,5
973882807,Машонский Василий Данилович,23,9д,5
363414270,Буриева Зинаида Аркадьевна,104,11д,4
627320052,Борщина Алёна Ивановна,377,11а,5
229910217,Белчков Олег Иванович,275,10а,4
821603217,Остропиков Альберт Данилович,157,8г,2
363414270,Оргонова Любовь Максимовна,264,7б,4
973957065,Мальков Юрий Евгеньевич,228,7г,3
363414270,Свльхова Наталья Вадимовна,160,9т,5
973882807,Мякушков Герасим Леонидович,102,10т,3
792985931,Межуев Георгий Юриевич,355,8г,4
821603217,Чериншев Александр Сергеевич,439,8а,2
824679109,Муниров Алексей Андреевич,117,11г,3
824679109,Климухин Руслан Романович,269,10в,3
781437302,Дембская Екатерина Никитична,64,11б,4
229910217,Тюнеев Яков Фёдорович,417,10т,2
545032195,Трушитин Антон Данилович,168,9х,3
973882807,Балакишиев Роман Алексиевич,143,11х,5
781437302,Немтюрева Валерия Аркадьевна,12,10г,4
213311271,Складанова Клавдия Аркадьевна,257,9а,3
363414270,Заходина Полина Леонидовна,93,10д,4
563209611,Муринов Анатолий Борисович,171,11б,5
198330385,Гришалова Любовь Евгеньевна,301,8т,3
762048367,Ситчихин Станислав Георгиевич,247,8т,5
973882807,Просяных Георгий Василиевич,366,9в,2
973882807,Дзабиев Григорий Георгиевич,259,11д,5
821603217,Рыбаулин Григорий Алексеевич,140,11а,5
363414270,Тупиева Екатерина Ивановна,400,7д,2
389916612,Куверчева Алена Ивановна,170,10д,3
213311271,Цаблинова Виктория Богдановна,342,9г,4
821603217,Синенков Григорий Леонидович,230,9в,5
973957065,Лизункин Артур Олегович,4,11в,5
792061660,Славущева Александра Эдуардовна,81,8а,5
973882807,Шахвердов Дмитрий Антонович,132,11б,2
480519285,Рапацкая Ольга Ивановна,223,10г,3
762048367,Сторокожев Виталий Аркадиевич,159,9б,2
973882807,Половодов Кирилл Николаевич,18,8т,5
363414270,Халтанова Алена Дмитриевна,49,8б,3
545032195,Заложнев Роман Фёдорович,448,8в,4
138827881,Рыжих Кристина Аркадьевна,213,7а,4
229910217,Буров Руслан Игоревич,405,11и,5
824679109,Гачков Виталий Евгеньевич,277,9т,4
563209611,Кадилов Геннадий Борисович,225,10в,3
389916612,Гликина Алёна Эдуардовна,454,9б,3
138827881,Ичкинина Любовь Андреевна,299,8г,5
138827881,Мозшорина Кира Дмитриевна,65,8б,3
629929310,Брижеватов Константин Борисович,152,11т,2
545032195,Бучеров Тарас Викторович,429,10д,4
198330385,Мисютина Валерия Эдуардовна,368,9г,2
792985931,Льянов Федор Вадимович,328,8а,4
545032195,Щуркин Георгий Яковлевич,180,8в,4
229910217,Акулин Федор Адамович,241,10г,4
213311271,Волженкова Екатерина Ивановна,233,9д,4
198330385,Махометова София Викторовна,424,8и,3
824679109,Зызлов Геннадий Антонович,274,7в,3
480519285,Девляшова Кира Олеговна,51,11д,5
389916612,Яковкина Алена Никитична,320,9т,5
545032195,Бузулев Вадим Николаевич,331,10д,3
973957065,Ганельский Юрий Юриевич,474,9д,3
219613922,Шкапрова Ева Ивановна,371,7б,5
973882807,Чичирин Владимир Георгиевич,11,10а,4
138827881,Шилова Надежда Викторовна,124,9б,2
545032195,Коваев Руслан Михаилович,487,9т,3
363414270,Саверина Надежда Андреевна,407,11б,4
792985931,Тишанкин Олег Адамович,334,9д,3
563209611,Широпаев Валерий Сергеевич,406,9б,2
229910217,Щепанин Олег Адамович,226,7а,3
821603217,Оплетин Владислав Аркадиевич,361,10х,4
389916612,Оденова Карина Андреевна,409,8и,4
824679109,Семагин Альберт Андреевич,456,10х,4
213311271,Черданцева Анастасия Олеговна,128,8х,3
781437302,Лонцова Елизавета Эдуардовна,224,7х,3
363414270,Сарсекеева Алёна Никитична,462,11и,4
563209611,Аковецкий Антон Евгеньевич,500,8б,4
821603217,Аратский Станислав Борисович,351,9и,2
973957065,Чужриков Пётр Денисович,200,9в,3
973882807,Никитшин Алексей Кириллович,111,11и,3
821603217,Симендяев Василий Алексиевич,45,8д,4
545032195,Ошитков Максим Сергеевич,151,10г,4
545032195,Юрасов Евгений Романович,338,9и,3
973957065,Головяшин Павел Юриевич,179,7г,5
213311271,Манжурина Екатерина Сергеевна,219,7т,3
824679109,Никурашин Олег Евгеньевич,291,11х,2
545032195,Бехтерев Федор Вадимович,137,9х,3
882054131,Годлевская Катерина Дмитриевна,403,11г,3
138827881,Акиярова Алина Эдуардовна,9,11а,4
219613922,Милина Алена Петровна,359,8г,3
545032195,Воловин Борис Викторович,350,7т,2
138827881,Туморина Ксения Федоровна,133,8б,5
973882807,Желейков Вячеслав Яковлевич,199,8г,3
882054131,Шишорнина Екатерина Алексеевна,183,8т,3
781437302,Юумогулова Виолетта Игоревна,311,10х,3
792985931,Рецков Денис Денисович,85,10д,2
198330385,Химунина Елизавета Ивановна,392,7д,2
762048367,Кобрянов Александр Алексиевич,455,7т,2
973957065,Бирылов Тарас Данилович,243,11а,3
821603217,Туфатулин Ярослав Леонидович,485,8х,4
973882807,Долбишев Николай Аркадиевич,292,10б,5
363414270,Махтумова Алёна Эдуардовна,186,10б,4
973882807,Нарзаркин Алексей Романович,423,10т,2
138827881,Куранина Алена Леонидовна,196,9б,4
563209611,Ситюков Аркадий Евгеньевич,32,10в,3
389916612,Мизюрова Алиса Никитична,176,7г,4
363414270,Пандурова Алиса Дмитриевна,130,9б,2
824679109,Жилейкин Борис Тимофеевич,91,7в,2
213311271,Корпункова Виолетта Сергеевна,83,11а,3
882054131,Пашохонова Анастасия Федоровна,467,9в,4
781437302,Сузальцева Тамара Михайловна,357,8х,4
781437302,Чиличкина Светлана Яковлевна,5,8в,5
198330385,Шантыкова Карина Максимовна,198,10д,3
762048367,Недосекин Владислав Яковлевич,457,10а,4
824679109,Максимкин Федор Фёдорович,172,10г,2
781437302,Матбиюшина Виктория Игоревна,237,8д,2
545032195,Шишкунов Герасим Юрьевич,110,8т,4
563209611,Сухинин Георгий Алексиевич,475,10х,4
389916612,Бисеева Полина Романовна,48,7д,5
545032195,Жукулов Михаил Денисович,60,11г,3
973957065,Тоняев Герасим Петрович,378,9т,5
389916612,Шушенкова Алёна Олеговна,36,7и,2
545032195,Разроев Дмитрий Павлович,59,9а,2
563209611,Баззаев Анатолий Данилович,339,9д,2
686529451,Цекова Алла Олеговна,50,8д,2
363414270,Аборонова Алиса Алексеевна,444,7г,5
627320052,Ягловская Ева Олеговна,181,8в,4
389916612,Шароварова Яна Романовна,175,8а,4
229910217,Общев Яков Викторович,466,8а,4
213311271,Ойзерская Катерина Эдуардовна,120,7х,2
824679109,Прусский Ярослав Иванович,479,11б,2
545032195,Лабинов Павел Алексеевич,272,7б,5
545032195,Покровов Эдуард Павлович,312,8б,2
545032195,Мачехин Эдуард Данилович,19,7д,3
389916612,Кодорская Раиса Ивановна,27,11б,3
138827881,Кондраева Марина Ивановна,469,9д,3
973882807,Бульенков Валентин Иванович,136,10т,4
198330385,Тагакова Вероника Яковлевна,393,8т,4
198330385,Гершанова Любовь Евгеньевна,383,11т,5
219613922,Салина Алена Егоровна,73,11в,5
363414270,Фрумова Зинаида Аркадьевна,78,8а,4
545032195,Хорняков Борис Борисович,13,8г,2
389916612,Гдагазина Лиза Василевна,212,9т,5
563209611,Агаршев Ярослав Михаилович,276,9т,2
792985931,Корюшин Пётр Антонович,326,8х,2
792985931,Калаев Пётр Алексиевич,68,8а,3
781437302,Ккаталкина Виолетта Егоровна,53,7б,2
824679109,Рачнов Герасим Алексеевич,103,10а,5
213311271,Миндубаева Людмила Леонидовна,477,11и,2
627320052,Агафьева Вера Ивановна,352,11х,3
229910217,Житин Эдуард Адамович,481,9а,5
