id,Name,titleProject_id,class,score,login,password
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,XSPoaZFd
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,6UdlQtbo
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,5I4gPaiI
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,U6CWOCWX
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,wxF84d3O
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,S8Wzod17
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,FCfW7CzD
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,iaXVxWBN
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,ibBcsUc4
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,Itqzqbmy
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,mvaFZhWa
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,ywVNnxxt
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,1Zq01yZL
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,hbKxjZ9Z
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,AiTYkZoY
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,1grLQUif
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,N0XhLiJz
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,my6xjJED
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,m46pav2B
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,d1XZcM8D
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,zpa7U9KK
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,vYeoUUAd
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,LwlBUOYu
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,Bzwe5YtE
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,lkcpm0Wt
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,BHEiAKlp
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,GNmsaWEY
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,5OXzV1T4
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,v6HqzPhf
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,3vucEoE6
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,mdb5G61O
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,TpJ8Js6z
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,Rcaxx12W
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,Z6hn9CHb
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,XQ04YV1c
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,7MDUbLAC
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,w90MSDfX
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,kybfq8ty
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,4Te5fpbR
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,dgLhnbfv
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,EmCngMz4
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,qBAiD6RJ
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,jiRxsh3y
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,MZTjWJl9
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,tTA1IxRh
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,01OdCEZ6
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,G42zaQwC
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,Whv59jlh
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,Nvp8Ktp0
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,5AGga7TD
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,AErHzDJh
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,vI0ojGkE
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,S49gAIQN
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,pA50i1qF
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,iG0rvAxU
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,GeTyV9pL
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,sUBoyDJa
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,Oxv72bfq
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,qcRPctg0
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,3VqQ6UxR
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,8rLtzhVL
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,pZIOPlee
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,bWCuXzJz
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,qX7KpzZ5
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,vClqbrZH
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,zITs3uyI
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,JqhVkkAO
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,qRjBlbIz
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,QYRKrkFj
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,bx0ed2nD
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,jURhA43c
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,ZuytB2LG
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,ZIfggclu
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,3zfikkd8
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,xp4O0qQW
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,gqaraP54
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,LOlgdRMN
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,AC9NH2GX
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,nSWIKtDC
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,LU49CXsc
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,1lMcrJog
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,kO2ZbKjL
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,deZfpLBW
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,IPydPqlC
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,NTec82Pg
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,D4ox2fYc
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,O7IW0PGn
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,FX9PDsWQ
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,VSMKAWxq
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,C9f3KnGz
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,dVuEjwDF
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,1iJnyx5K
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,EVSIKVJE
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,p3SHIhiv
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,a7EllkUg
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,t9wuyIBl
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,I1DuE33t
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,p2G6AiFT
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,Yj7VXUIO
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,5rJXEFxI
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,Y4cZPPae
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,vYqQ4vTU
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,HXGK7NYr
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,tHIZ9t3S
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,ILmOd7BE
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,oFu7hjsm
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,JEjejsPO
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,JXKHD8eh
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,9l7Yu5AA
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,4rw6pP9h
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,NrzRnh3c
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,JAKb87qW
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,6wsL2tVb
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,0pHObEIN
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,crF7EjNU
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,7XB3v8rI
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,PlTpvyh0
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,5tRgk9vX
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,ECxQo4wI
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,AAZIvOAc
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,VpPCp8pD
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,rXmx9rdF
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,j5nE9QYY
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,n231UfMc
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,ULranbpF
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,j3kNGpEN
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,kSk4Ely4
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,epzsNzPk
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,sMRlM88y
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,Jz5BVGpp
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,HvlaJnzF
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,mp2OgqPe
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,ZtdqJhod
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,pRDG162d
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,v69NMgcF
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,vZ2HjUXM
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,IXbduwvZ
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,lAlkaAIR
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,k2tm8mlt
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,tLenkB2G
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,HQBY0Hs3
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,gZFAaII8
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,zWBiLKFt
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,uopLPRcu
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,OrOKWyXZ
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,2eMWG3P4
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,Zb5ECE82
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,t8Cukj3O
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,9ceSKewp
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,e9przaa4
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,Tk89EABd
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,Aq5tBsXj
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,GdXfQsQG
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,LXR5z8Kc
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,emyOSHrA
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,CUH2af6D
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,m2CzvUqS
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,oESGrFeF
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,apHYczzr
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,TZgaEDt7
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,pPO4kqc7
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,JjfZn6VB
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,6lsnv3Vk
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,JKq1EJem
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,bYKqVzRv
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,jO4zgdu5
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,t4hPGnrn
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,TBkBAA5P
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,gAeESsJ7
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,AvADfb9k
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,h3cNSOXU
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,GyzhsTZC
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,fONRPreA
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,vptijFaf
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,I21ic6RE
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,i6guXeMZ
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,joB4FR9R
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,NIuVbQzU
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,5j6qWF8T
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,l09LZwwj
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,Clzx5ceP
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,SkOVM6GU
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,FWtKfqSR
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,uDRxsqzo
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,QTy7XrG9
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,WEI3Tced
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,ajlLp1ts
278,Углова Галина Романовна,260,9г,3,Углова_ГР,4UTvCPXJ
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,Lmzqv22G
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,BWFD4Fky
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,7Sklg1J7
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,33GTGiJQ
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,UY58YrJN
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,EbB7h1Ih
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,KOed1QiS
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,1UNTbsBL
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,UgN8dJ9t
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,8kIS4do4
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,LUc9Ects
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,KS9jm40i
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,RxpjX9FH
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,YYpcaEH8
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,XVAB8LOG
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,fg8yMsDZ
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,9mnkX0uh
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,W8NuTT2T
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,VuaKF25j
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,tI5mfgnl
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,r4o7Dt0w
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,bQozDtB8
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,GZGj566e
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,2ay6MacW
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,4kRKkI5J
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,ypv6iw7J
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,0XhtvvMW
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,2uFTtr37
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,oXfsImlZ
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,BcBRgMWl
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,2C1aYogM
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,I82NKMq3
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,i5FUuU6f
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,5a2u6OE8
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,hua29BzA
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,06UXNtcT
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,9h4hlHxM
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,gayRqDUF
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,5ht6j4np
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,juSPDWXB
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,0y67RsIK
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,lDIRSYTQ
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,bnLEiOXV
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,TBfH47e1
